cliente_id,data_solicitacao,valor_solicitado,finalidade_credito,motivo_negativa,tentou_novamente
C127933,2024-06-13,2625.71,Cartão de Crédito,Renda Insuficiente,Sim
C060357,2024-06-25,433.36,Renegociação de Dívidas,Documentação Incompleta,Não
C002182,2024-06-11,2489.24,Cartão de Crédito,Documentação Incompleta,Não
C134364,2024-08-17,3136.33,Cartão de Crédito,Histórico de Inadimplência,Não
C036244,2024-11-07,1437.6,Empréstimo Pessoal,Renda Insuficiente,Sim
C082933,2025-01-17,4616.67,Cartão de Crédito,Documentação Incompleta,Sim
C145428,2023-11-22,2327.0,Cartão de Crédito,Renda Insuficiente,Não
C021565,2023-10-23,2225.65,Empréstimo Pessoal,Renda Insuficiente,Não
C082779,2023-09-11,2941.59,Limite Conta,Score Baixo,Não
C092531,2023-10-26,1223.63,Limite Conta,Documentação Incompleta,Não
C087831,2024-06-13,2308.05,Cartão de Crédito,Renda Insuficiente,Não
C139876,2023-09-30,2960.95,Compra Parcelada,Inconsistência Cadastral,Não
C026446,2024-10-11,2725.76,Compra Parcelada,Renda Insuficiente,Não
C016943,2024-12-24,2655.34,Empréstimo Pessoal,Renda Insuficiente,Não
C142175,2024-12-11,2874.83,Empréstimo Pessoal,Score Baixo,Não
C040485,2024-08-11,3074.08,Compra Parcelada,Renda Insuficiente,Não
C038291,2024-01-10,1296.33,Limite Conta,Score Baixo,Não
C091146,2025-02-10,1624.51,Empréstimo Pessoal,Documentação Incompleta,Não
C145667,2025-05-11,1952.34,Empréstimo Pessoal,Score Baixo,Não
C100249,2024-01-28,2226.32,Compra Parcelada,Renda Insuficiente,Não
C016326,2025-01-30,1461.89,Empréstimo Pessoal,Inconsistência Cadastral,Não
C018844,2023-08-27,3051.12,Cartão de Crédito,Score Baixo,Não
C046471,2025-01-21,2857.8,Cartão de Crédito,Inconsistência Cadastral,Não
C128465,2024-06-02,2172.63,Empréstimo Pessoal,Documentação Incompleta,Não
C097919,2024-10-23,1838.32,Empréstimo Pessoal,Inconsistência Cadastral,Sim
C050257,2024-07-27,2092.7,Compra Parcelada,Inconsistência Cadastral,Sim
C025908,2023-11-06,2461.76,Limite Conta,Histórico de Inadimplência,Sim
C002382,2024-02-01,2124.3,Renegociação de Dívidas,Renda Insuficiente,Sim
C069826,2024-08-09,2229.63,Empréstimo Pessoal,Renda Insuficiente,Não
C053508,2023-10-16,2038.07,Renegociação de Dívidas,Documentação Incompleta,Não
C028252,2024-06-30,1721.95,Renegociação de Dívidas,Inconsistência Cadastral,Não
C100099,2024-06-23,1292.35,Compra Parcelada,Renda Insuficiente,Não
C045522,2023-08-29,3488.33,Renegociação de Dívidas,Inconsistência Cadastral,Sim
C067840,2024-04-16,878.65,Cartão de Crédito,Renda Insuficiente,Sim
C100453,2024-04-24,1822.84,Compra Parcelada,Inconsistência Cadastral,Sim
C128303,2028-01-01,1476.88,Cartão de Crédito,Renda Insuficiente,Não
C110612,2025-03-23,478.55,Cartão de Crédito,Score Baixo,Não
C109741,2024-02-16,4080.22,Compra Parcelada,Renda Insuficiente,Não
C051725,2025-05-02,1979.39,Empréstimo Pessoal,Renda Insuficiente,Não
C125693,2025-02-14,3878.04,Cartão de Crédito,Renda Insuficiente,Não
C148053,2025-05-13,1789.53,Renegociação de Dívidas,Renda Insuficiente,Não
C093807,2024-01-22,1146.61,Empréstimo Pessoal,Renda Insuficiente,Não
C135224,2025-04-03,2677.89,Compra Parcelada,Renda Insuficiente,Não
C008084,2023-09-02,2673.07,Compra Parcelada,Renda Insuficiente,Sim
C117130,2025-02-12,-792.28,Compra Parcelada,Inconsistência Cadastral,Não
C004936,2023-09-09,1504.07,Renegociação de Dívidas,Documentação Incompleta,Não
C016921,2024-06-21,3269.89,Renegociação de Dívidas,Inconsistência Cadastral,Não
C121827,2024-06-10,1230.48,Compra Parcelada,Score Baixo,Não
C104295,2025-03-28,2297.81,Renegociação de Dívidas,Score Baixo,Sim
C079658,2024-04-16,3830.11,Cartão de Crédito,Score Baixo,Não
C046415,2024-07-30,1406.02,Limite Conta,Score Baixo,Sim
C083726,2024-07-31,4672.64,Empréstimo Pessoal,Score Baixo,Sim
C096196,2024-01-09,2909.31,Renegociação de Dívidas,Renda Insuficiente,Sim
C088203,2025-06-11,3006.64,Compra Parcelada,Score Baixo,Não
C046921,2028-01-01,2994.77,Renegociação de Dívidas,Renda Insuficiente,Não
C031098,2024-03-23,1066.79,Cartão de Crédito,Histórico de Inadimplência,Não
C037385,2024-12-15,2293.34,Renegociação de Dívidas,Inconsistência Cadastral,Sim
C126845,2024-02-09,2518.12,Compra Parcelada,Histórico de Inadimplência,Sim
C020937,2023-09-01,3029.0,Cartão de Crédito,Inconsistência Cadastral,Não
C094188,2025-01-15,2545.26,Renegociação de Dívidas,Inconsistência Cadastral,Não
C116727,2023-08-06,2284.33,Empréstimo Pessoal,Histórico de Inadimplência,Não
C060443,2023-11-26,1451.77,Empréstimo Pessoal,Score Baixo,Não
C127406,2023-07-21,2060.9,Renegociação de Dívidas,Score Baixo,Não
C049573,2024-06-10,3116.84,Renegociação de Dívidas,Renda Insuficiente,Não
C100523,2024-12-05,2227.56,Empréstimo Pessoal,Documentação Incompleta,Não
C114175,2024-07-13,2925.61,Empréstimo Pessoal,Score Baixo,Não
C014702,2024-12-10,2537.67,Cartão de Crédito,Score Baixo,Sim
C113550,2024-10-03,1235.29,Cartão de Crédito,Renda Insuficiente,Não
C003254,2024-02-24,2570.99,Renegociação de Dívidas,Inconsistência Cadastral,Não
C065000,2025-05-05,2241.83,Cartão de Crédito,Inconsistência Cadastral,Não
C084690,2024-02-17,2073.99,Empréstimo Pessoal,Renda Insuficiente,Não
C035814,2025-04-12,1330.18,Cartão de Crédito,Documentação Incompleta,Não
C135405,2024-08-21,965.14,Renegociação de Dívidas,Documentação Incompleta,Não
C051575,2025-06-19,1208.51,Cartão de Crédito,Score Baixo,Sim
C115710,2024-11-02,2746.78,Empréstimo Pessoal,Histórico de Inadimplência,Não
C134774,2023-10-28,2249.28,Cartão de Crédito,Documentação Incompleta,Não
C099874,2025-02-06,3094.26,Cartão de Crédito,Score Baixo,Sim
C106411,2023-11-13,2944.11,Empréstimo Pessoal,Renda Insuficiente,Não
C100639,2024-11-22,1914.16,Limite Conta,Inconsistência Cadastral,Sim
C144450,2024-05-23,2778.26,Compra Parcelada,Documentação Incompleta,Não
C111312,2024-11-19,3037.78,Limite Conta,Score Baixo,Não
C004831,2024-05-04,2506.15,Empréstimo Pessoal,Renda Insuficiente,Não
C095120,2025-02-28,2530.99,Renegociação de Dívidas,Renda Insuficiente,Não
C042926,2023-10-23,2016.07,Renegociação de Dívidas,Histórico de Inadimplência,Sim
C112818,2024-01-22,2834.42,Cartão de Crédito,Score Baixo,Não
C130065,2024-04-08,3072.63,Compra Parcelada,Score Baixo,Não
C081649,2024-11-11,3803.22,Empréstimo Pessoal,Renda Insuficiente,Sim
C126758,2024-04-28,2588.38,Renegociação de Dívidas,Score Baixo,Não
C027950,2024-05-14,1703.54,Empréstimo Pessoal,Renda Insuficiente,Não
C030366,2025-01-01,3673.77,Empréstimo Pessoal,Renda Insuficiente,Não
C045414,2024-08-02,3345.45,Renegociação de Dívidas,Documentação Incompleta,Não
C089112,2023-08-19,2961.69,Compra Parcelada,Documentação Incompleta,Não
C146067,2024-06-10,2344.48,Empréstimo Pessoal,Score Baixo,Não
C146766,2024-07-14,2632.6,Cartão de Crédito,Inconsistência Cadastral,Sim
C042329,2024-03-02,922.46,Cartão de Crédito,Renda Insuficiente,Não
C051206,2024-02-18,2002.41,Cartão de Crédito,Inconsistência Cadastral,Não
C084695,2023-10-13,2783.66,Renegociação de Dívidas,Renda Insuficiente,Não
C111995,2025-01-19,2722.86,Cartão de Crédito,Inconsistência Cadastral,Não
C027714,2024-02-27,3420.66,Cartão de Crédito,Documentação Incompleta,Sim
C115354,2024-07-27,2940.75,Cartão de Crédito,Score Baixo,Sim
C125997,2024-11-20,105.18,Cartão de Crédito,Score Baixo,Sim
C030324,2023-08-06,1654.55,Limite Conta,Inconsistência Cadastral,Sim
C100344,2023-11-12,3523.5,Empréstimo Pessoal,Documentação Incompleta,Não
C106670,2024-08-18,2706.57,Compra Parcelada,Renda Insuficiente,Não
C019707,2024-02-04,2450.1,Cartão de Crédito,Renda Insuficiente,Não
C061527,2024-08-20,1329.43,Renegociação de Dívidas,Histórico de Inadimplência,Sim
C020482,2024-04-18,1892.16,Compra Parcelada,Inconsistência Cadastral,Não
C061149,2025-03-29,1752.45,Cartão de Crédito,Renda Insuficiente,Não
C039683,2024-01-16,3370.03,Cartão de Crédito,Score Baixo,Não
C113302,2024-06-03,3437.2,Limite Conta,Histórico de Inadimplência,Sim
C130805,2025-04-20,3800.82,Cartão de Crédito,Documentação Incompleta,Não
C063739,2024-02-04,1942.85,Cartão de Crédito,Score Baixo,Não
C071493,2024-08-08,2639.12,Cartão de Crédito,Renda Insuficiente,Não
C096060,2023-11-25,1463.52,Cartão de Crédito,Inconsistência Cadastral,Não
C088059,2024-04-25,2502.17,Cartão de Crédito,Inconsistência Cadastral,Não
C105260,2024-06-08,2280.86,Cartão de Crédito,Documentação Incompleta,Não
C123126,2023-11-03,2593.95,Limite Conta,Score Baixo,Não
C144524,2024-01-07,4351.58,Compra Parcelada,Renda Insuficiente,Não
C148065,2024-01-04,3838.84,Compra Parcelada,Histórico de Inadimplência,Não
C081684,2025-01-15,2638.62,Empréstimo Pessoal,Renda Insuficiente,Não
C044068,2024-12-07,3367.31,Empréstimo Pessoal,Inconsistência Cadastral,Não
C012211,2025-04-01,1761.09,Renegociação de Dívidas,Histórico de Inadimplência,Não
C031043,2024-11-14,2313.42,Limite Conta,Inconsistência Cadastral,Não
C118590,2024-09-24,1631.29,Limite Conta,,Não
C146279,2025-05-03,2780.16,Empréstimo Pessoal,Inconsistência Cadastral,Não
C118868,2025-06-29,4179.25,Cartão de Crédito,Score Baixo,Não
C099713,2025-05-02,2123.15,Renegociação de Dívidas,Histórico de Inadimplência,Sim
C100054,2025-05-11,1886.99,Compra Parcelada,Inconsistência Cadastral,Não
C110062,2024-07-16,3010.71,Cartão de Crédito,Renda Insuficiente,Não
C046527,2024-04-08,1834.84,Empréstimo Pessoal,,Não
C084818,2024-09-19,2440.37,Renegociação de Dívidas,Renda Insuficiente,Não
C139274,2024-05-26,2905.29,Renegociação de Dívidas,Inconsistência Cadastral,Não
C046798,2024-05-05,2517.23,Limite Conta,Renda Insuficiente,Não
C135056,2024-01-10,2615.47,Empréstimo Pessoal,Inconsistência Cadastral,Sim
C052262,2023-07-17,4770.92,Empréstimo Pessoal,Documentação Incompleta,Não
C012125,2023-07-03,2925.82,Cartão de Crédito,Renda Insuficiente,Não
C148961,2025-04-21,3290.22,Empréstimo Pessoal,Inconsistência Cadastral,Não
C054486,2023-12-29,3778.97,Cartão de Crédito,Score Baixo,Não
C133351,2024-12-24,1509.38,Empréstimo Pessoal,Renda Insuficiente,Não
C026416,2024-05-23,2431.12,Compra Parcelada,Score Baixo,Não
C004043,2025-03-12,3035.33,Empréstimo Pessoal,Inconsistência Cadastral,Não
C109057,2025-02-26,1888.83,Empréstimo Pessoal,Renda Insuficiente,Não
C035782,2025-03-25,1334.73,Renegociação de Dívidas,Inconsistência Cadastral,Não
C060743,2023-12-21,1126.66,Compra Parcelada,Documentação Incompleta,Não
C123047,2025-05-19,2350.05,Cartão de Crédito,Renda Insuficiente,Não
C022901,2025-05-09,2160.51,Empréstimo Pessoal,Inconsistência Cadastral,Não
C072619,2024-01-29,2878.83,Cartão de Crédito,Score Baixo,Não
C131100,2023-10-08,2573.36,Compra Parcelada,Score Baixo,Sim
C123836,2024-09-08,4255.79,Cartão de Crédito,Score Baixo,Sim
C103493,2025-06-04,2530.11,Empréstimo Pessoal,Documentação Incompleta,Não
C029523,2024-08-01,1807.75,Cartão de Crédito,Documentação Incompleta,Não
C141472,2024-02-08,2570.85,Renegociação de Dívidas,Documentação Incompleta,Não
C089197,2025-01-13,2635.57,Empréstimo Pessoal,Renda Insuficiente,Não
C048565,2025-05-14,1421.31,Cartão de Crédito,Renda Insuficiente,Não
C074655,2024-07-22,2830.02,Cartão de Crédito,Histórico de Inadimplência,Não
C083087,2024-11-24,2419.27,Renegociação de Dívidas,Renda Insuficiente,Não
C130942,2025-01-10,3560.98,Limite Conta,Histórico de Inadimplência,Não
C024597,2025-06-03,2290.69,Cartão de Crédito,Renda Insuficiente,Não
C018201,2024-10-12,1007.18,Cartão de Crédito,Score Baixo,Não
C115953,2025-04-02,1558.15,Compra Parcelada,Renda Insuficiente,Não
C053679,2024-06-17,434.7,Cartão de Crédito,Score Baixo,Não
C070076,2024-01-08,2626.19,Cartão de Crédito,Renda Insuficiente,Não
C061417,2024-12-10,3340.37,Renegociação de Dívidas,Renda Insuficiente,Sim
C097867,2023-11-04,2829.37,Cartão de Crédito,Score Baixo,Sim
C018654,2024-05-19,3414.19,Empréstimo Pessoal,Score Baixo,Não
C027469,2025-04-18,2378.86,Compra Parcelada,Inconsistência Cadastral,Não
C147862,2023-12-25,4170.05,Compra Parcelada,Documentação Incompleta,Não
C027823,2023-10-29,1152.2,Cartão de Crédito,Score Baixo,Não
C085856,2024-12-24,895.6,Compra Parcelada,Renda Insuficiente,Não
C075690,2023-10-12,1374.59,Renegociação de Dívidas,Renda Insuficiente,Sim
C126528,2024-02-09,3067.36,Compra Parcelada,Score Baixo,Não
C054442,2025-06-07,2103.71,Cartão de Crédito,Score Baixo,Sim
C015305,2024-04-15,3176.96,Cartão de Crédito,Score Baixo,Sim
C147400,2023-11-19,2609.76,Cartão de Crédito,Score Baixo,Não
C122667,2024-09-04,1643.05,Renegociação de Dívidas,Inconsistência Cadastral,Não
C041081,2025-06-05,2161.8,Empréstimo Pessoal,Renda Insuficiente,Não
C003103,2024-04-29,2053.87,Cartão de Crédito,Inconsistência Cadastral,Não
C034233,2024-07-11,1957.11,Cartão de Crédito,Inconsistência Cadastral,Não
C127398,2023-08-01,4010.57,Cartão de Crédito,Inconsistência Cadastral,Não
C063205,2025-05-20,1373.6,Limite Conta,Inconsistência Cadastral,Sim
C024233,2023-09-28,3122.69,Empréstimo Pessoal,Renda Insuficiente,Não
C011780,2023-10-15,1964.06,Empréstimo Pessoal,Score Baixo,Sim
C132101,2024-04-13,1551.48,Limite Conta,Score Baixo,Não
C030568,2024-03-13,2137.3,Compra Parcelada,Renda Insuficiente,Não
C055226,2023-09-20,3321.13,Compra Parcelada,Histórico de Inadimplência,Não
C095300,2025-05-21,1812.53,Cartão de Crédito,Renda Insuficiente,Não
C145829,2024-05-01,1465.2,Empréstimo Pessoal,Inconsistência Cadastral,Não
C016362,2023-12-04,2749.2,Empréstimo Pessoal,Inconsistência Cadastral,Não
C031355,2025-04-19,1643.58,Cartão de Crédito,Score Baixo,Não
C049917,2024-08-24,1415.21,Cartão de Crédito,Score Baixo,Não
C047769,2024-04-10,2520.27,Renegociação de Dívidas,Histórico de Inadimplência,Não
C053287,2024-02-08,1442.26,Cartão de Crédito,Renda Insuficiente,Não
C051244,2023-08-07,2859.4,Limite Conta,Score Baixo,Não
C048799,2025-04-06,2478.99,Cartão de Crédito,Score Baixo,Sim
C025751,2024-06-24,1202.63,Empréstimo Pessoal,Documentação Incompleta,Não
C067988,2024-09-27,2060.94,Renegociação de Dívidas,Inconsistência Cadastral,Não
C079645,2025-03-29,3082.33,Compra Parcelada,Score Baixo,Não
C057502,2025-04-18,3805.06,Cartão de Crédito,Inconsistência Cadastral,Não
C077822,2025-02-17,2880.63,Compra Parcelada,Renda Insuficiente,Não
C140788,2024-04-05,-500.0,Cartão de Crédito,Renda Insuficiente,Não
C007062,2024-11-30,2210.87,Cartão de Crédito,Score Baixo,Não
C051126,2023-11-15,2027.65,Renegociação de Dívidas,Renda Insuficiente,Sim
C089341,2025-04-29,2918.46,Cartão de Crédito,Inconsistência Cadastral,Não
C106452,2024-07-09,3445.75,Cartão de Crédito,Renda Insuficiente,Não
C048398,2024-04-26,2683.33,Empréstimo Pessoal,Inconsistência Cadastral,Não
C074021,2025-05-10,2884.19,Cartão de Crédito,Inconsistência Cadastral,Não
C012675,2025-01-18,1582.89,Compra Parcelada,Renda Insuficiente,Não
C084743,2024-04-13,2103.0,Renegociação de Dívidas,Renda Insuficiente,Não
C118786,2024-12-22,1660.95,Cartão de Crédito,Score Baixo,Sim
C026329,2024-06-07,2185.22,Renegociação de Dívidas,Renda Insuficiente,Não
C140526,2024-10-20,2721.66,Empréstimo Pessoal,Renda Insuficiente,Sim
C055221,2023-07-29,1907.39,Empréstimo Pessoal,Documentação Incompleta,Sim
C104359,2024-04-22,4634.7,Cartão de Crédito,Inconsistência Cadastral,Não
C135394,2025-06-04,3896.09,Renegociação de Dívidas,Documentação Incompleta,Não
C060378,2024-05-17,4108.76,Empréstimo Pessoal,Histórico de Inadimplência,Sim
C050464,2025-04-25,2223.03,Cartão de Crédito,Documentação Incompleta,Não
C112516,2024-10-26,2611.52,Renegociação de Dívidas,Score Baixo,Não
C103209,2023-10-11,1563.55,Renegociação de Dívidas,Renda Insuficiente,Sim
C032407,2023-11-14,1947.97,Empréstimo Pessoal,Renda Insuficiente,Não
C034668,2024-11-03,1876.23,Empréstimo Pessoal,Renda Insuficiente,Não
C010345,2024-09-05,237.48,Limite Conta,Documentação Incompleta,Não
C080377,2024-09-05,885.18,Empréstimo Pessoal,Score Baixo,Não
C088745,2024-08-08,3471.76,Cartão de Crédito,Inconsistência Cadastral,Não
C127345,2023-09-01,2334.87,Limite Conta,Inconsistência Cadastral,Não
C146151,2023-10-28,3437.27,Empréstimo Pessoal,Score Baixo,Não
C068689,2025-03-03,2458.51,Cartão de Crédito,Renda Insuficiente,Sim
C138869,2023-12-02,3696.71,Cartão de Crédito,Inconsistência Cadastral,Não
C140882,2025-01-28,1956.14,Limite Conta,Histórico de Inadimplência,Não
C026194,2025-02-21,3343.29,Cartão de Crédito,Inconsistência Cadastral,Não
C072175,2024-03-15,2288.32,Compra Parcelada,Renda Insuficiente,Não
C069015,2023-10-05,2677.17,Empréstimo Pessoal,Renda Insuficiente,Não
C018190,2024-12-22,1438.92,Empréstimo Pessoal,Inconsistência Cadastral,Não
C084871,2028-01-01,3274.84,Empréstimo Pessoal,Histórico de Inadimplência,Sim
C018836,2023-10-18,3914.18,Renegociação de Dívidas,Renda Insuficiente,Não
C146600,2023-07-06,1317.02,Renegociação de Dívidas,Inconsistência Cadastral,Não
C024534,2024-10-18,1796.81,Compra Parcelada,Score Baixo,Sim
C053784,2025-04-28,3364.49,Compra Parcelada,Renda Insuficiente,Não
C121300,2024-10-20,3171.39,Cartão de Crédito,Inconsistência Cadastral,Sim
C073166,2023-11-07,-500.0,Cartão de Crédito,Score Baixo,Não
C099664,2023-12-05,3589.19,Empréstimo Pessoal,,Sim
C074656,2023-09-09,2224.82,Renegociação de Dívidas,Renda Insuficiente,Não
C018494,2023-12-16,665.23,Cartão de Crédito,Score Baixo,Sim
C090813,2024-07-22,2088.72,Cartão de Crédito,Renda Insuficiente,Não
C061394,2023-07-14,3908.54,Cartão de Crédito,Score Baixo,Sim
C122397,2023-07-28,2782.45,Cartão de Crédito,Score Baixo,Não
C047810,2023-08-09,1979.06,Renegociação de Dívidas,Documentação Incompleta,Não
C022419,2023-10-01,2236.52,Empréstimo Pessoal,Score Baixo,Não
C128362,2025-02-18,1792.43,Compra Parcelada,Score Baixo,Não
C011952,2023-07-07,1185.01,Cartão de Crédito,Inconsistência Cadastral,Não
C100551,2024-06-30,2793.64,Empréstimo Pessoal,Renda Insuficiente,Sim
C143078,2024-10-23,2618.49,Renegociação de Dívidas,Histórico de Inadimplência,Não
C093890,2023-10-03,1808.3,Compra Parcelada,Inconsistência Cadastral,Não
C010671,2024-11-02,2494.67,Cartão de Crédito,Score Baixo,Não
C019796,2023-09-21,4127.05,Renegociação de Dívidas,Renda Insuficiente,Não
C086022,2023-10-04,1458.04,Limite Conta,Score Baixo,Não
C093255,2023-10-19,2557.99,Compra Parcelada,Score Baixo,Sim
C009986,2024-12-04,2903.51,Cartão de Crédito,Inconsistência Cadastral,Sim
C117262,2024-12-12,3339.45,Empréstimo Pessoal,Renda Insuficiente,Não
C007378,2028-01-01,2216.49,Cartão de Crédito,Score Baixo,Não
C009933,2024-08-31,3305.79,Cartão de Crédito,Score Baixo,Não
C075262,2023-12-10,1949.42,Cartão de Crédito,Renda Insuficiente,Não
C076369,2023-08-15,2223.29,Cartão de Crédito,Renda Insuficiente,Sim
C145620,2024-01-23,3183.29,Cartão de Crédito,Documentação Incompleta,Não
C069209,2023-12-27,2408.87,Compra Parcelada,Score Baixo,Não
C110095,2023-11-05,2928.68,Renegociação de Dívidas,Score Baixo,Não
C094630,2023-11-22,1773.04,Cartão de Crédito,Inconsistência Cadastral,Não
C128242,2025-05-13,2549.57,Compra Parcelada,Histórico de Inadimplência,Não
C009230,2023-09-02,2715.88,Compra Parcelada,Documentação Incompleta,Não
C116589,2025-01-02,2716.44,Empréstimo Pessoal,Score Baixo,Não
C030453,2024-01-22,2598.37,Empréstimo Pessoal,Score Baixo,Sim
C047988,2024-01-01,2788.73,Cartão de Crédito,Inconsistência Cadastral,Não
C050016,2023-10-11,2990.81,Compra Parcelada,Histórico de Inadimplência,Sim
C003453,2024-07-31,3170.08,Cartão de Crédito,Documentação Incompleta,Não
C080277,2024-05-31,2596.25,Cartão de Crédito,Histórico de Inadimplência,Não
C094266,2023-12-12,3069.01,Renegociação de Dívidas,Inconsistência Cadastral,Não
C101872,2024-04-01,342.36,Cartão de Crédito,Score Baixo,Não
C031909,2024-12-06,3191.44,Cartão de Crédito,Inconsistência Cadastral,Não
C006158,2025-01-24,2770.76,Empréstimo Pessoal,Renda Insuficiente,Não
C120312,2023-10-20,1339.8,Cartão de Crédito,Score Baixo,Não
C107326,2024-05-24,1357.06,Empréstimo Pessoal,Score Baixo,Não
C108836,2023-11-06,2277.03,Compra Parcelada,Documentação Incompleta,Não
C061881,2025-02-28,478.9,Compra Parcelada,Score Baixo,Não
C130750,2024-12-26,2619.59,Cartão de Crédito,Renda Insuficiente,Não
C104366,2025-06-04,3261.89,Cartão de Crédito,Score Baixo,Não
C052001,2024-05-23,2777.91,Cartão de Crédito,Renda Insuficiente,Sim
C133043,2024-06-06,2127.02,Empréstimo Pessoal,Renda Insuficiente,Sim
C099916,2023-09-13,2900.1,Cartão de Crédito,Documentação Incompleta,Não
C061290,2025-01-21,-500.0,Cartão de Crédito,Score Baixo,Sim
C072852,2025-05-19,1472.09,Cartão de Crédito,Renda Insuficiente,Não
C019538,2023-09-08,3326.54,Empréstimo Pessoal,Documentação Incompleta,Não
C042502,2025-02-22,3641.68,Compra Parcelada,Renda Insuficiente,Não
C072980,2024-06-02,3404.07,Cartão de Crédito,Renda Insuficiente,Não
C097263,2024-04-04,3274.83,Empréstimo Pessoal,Histórico de Inadimplência,Não
C069560,2024-08-07,1226.24,Limite Conta,Histórico de Inadimplência,Não
C108882,2023-11-21,2320.1,Renegociação de Dívidas,Histórico de Inadimplência,Não
C039954,2024-12-10,3128.37,Limite Conta,Inconsistência Cadastral,Sim
C141969,2025-02-24,2559.27,Renegociação de Dívidas,Documentação Incompleta,Não
C053905,2025-05-03,1600.06,Empréstimo Pessoal,Renda Insuficiente,Sim
C043949,2028-01-01,4043.94,Renegociação de Dívidas,Documentação Incompleta,Não
C131822,2024-06-26,3389.73,Limite Conta,Score Baixo,Não
C029105,2024-10-03,2442.25,Cartão de Crédito,Score Baixo,Sim
C124942,2025-05-04,2304.52,Renegociação de Dívidas,Renda Insuficiente,Não
C003468,2025-04-26,2114.62,Limite Conta,Renda Insuficiente,Não
C112640,2024-06-23,2975.61,Cartão de Crédito,Histórico de Inadimplência,Não
C021244,2023-12-12,1794.92,Cartão de Crédito,Score Baixo,Não
C048044,2024-08-22,3483.47,Cartão de Crédito,Score Baixo,Não
C142488,2024-05-21,1680.57,Cartão de Crédito,Inconsistência Cadastral,Não
C066602,2024-09-27,2914.0,Cartão de Crédito,Score Baixo,Não
C001296,2023-08-05,4105.03,Compra Parcelada,Inconsistência Cadastral,Não
C107292,2028-01-01,1188.35,Empréstimo Pessoal,Renda Insuficiente,Não
C076333,2025-05-05,1540.58,Cartão de Crédito,Renda Insuficiente,Não
C010545,2024-04-10,1994.39,Empréstimo Pessoal,Inconsistência Cadastral,Não
C011012,2023-10-14,4164.68,Empréstimo Pessoal,Inconsistência Cadastral,Não
C118522,2024-01-05,2282.58,Renegociação de Dívidas,Histórico de Inadimplência,Sim
C127142,2025-01-15,2140.29,Compra Parcelada,Renda Insuficiente,Sim
C070497,2024-06-24,1626.86,Cartão de Crédito,Histórico de Inadimplência,Não
C028996,2025-03-31,916.74,Compra Parcelada,Histórico de Inadimplência,Sim
C105984,2023-09-01,1420.88,Limite Conta,Histórico de Inadimplência,Sim
C122351,2024-09-07,2424.49,Empréstimo Pessoal,Renda Insuficiente,Sim
